Inputs;Outputs;Valor
Inicial;18cBEMRxXHqzWWCxZNtU91F5sbUNKhL5PX;650418053
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;1674x3UNNYH1rzUbjiif2RAX1CfQrNVVLb;10256260
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;1BGWrdFVReNeJEn93kNqxxyYDhAF7zncQD;1248080400
1EsuUgfVQ4QiDmxf8CSaKrUoQmbEsqnYQW;bc1qvh8djehzsnr59eveepqakjkaperwgltucqaatp;300000
1EsuUgfVQ4QiDmxf8CSaKrUoQmbEsqnYQW;3LQ318hQq7CKmqnciwMBfqcvEFqkw4Z8gQ;1287556
1EsuUgfVQ4QiDmxf8CSaKrUoQmbEsqnYQW;13VHunGb5NaHimq1Gi8XuBeKaqGak6Qyke;28865421
1HbdqhNeuhuVpCtUfrHATFeeBzxWBYGdAn;1JzzGfXTjGYH7vasB3LWw73unHyZ5ARDKq;5879849
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;bc1qha0x283aqm25wkty082drpylmh7mv4m8f7rlc8;4157989
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;15JLfGmg8Kx9Vb7H8N6UQ8GXCFHSWbjLu3;508010417
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;138VYndeEicMoP3yFhxut9bGbG1sLtzSTE;400000
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;1TDHAjeP3EynWLGj1jNVpGHf7uoeWU4hC;418616
1J6qXMqfVqbkNXXvzdWSLF4hQkwK5yyGmE;1BGWrdFVReNeJEn93kNqxxyYDhAF7zncQD;1529327612
bc1qmccm8dkf3agrdmwmvkygsjjv8fztyxyhq4vre9;14hDp1PCDavG9e1XU5F9zh2GjuivAdhCv7;3511766
bc1qmccm8dkf3agrdmwmvkygsjjv8fztyxyhq4vre9;bc1qmccm8dkf3agrdmwmvkygsjjv8fztyxyhq4vre9;8117286
bc1q2df7fqscdpj45ufaawz7hgwlqsccphyjytq8na;12V8ihFtHpZvj5mJiNWBi1i1aEcFLkkNSv;589178
bc1q2df7fqscdpj45ufaawz7hgwlqsccphyjytq8na;bc1qpweafzrfgugm479kzm2jujdn2uualwvz5p6fex;3234553
1E51wDjfDgUrtTBbhodTy6yji1mMUDA5gx;bc1qskgqd5q53y6kp9xwg820tm9u62hecu0rjuhpj0;29987000
1E51wDjfDgUrtTBbhodTy6yji1mMUDA5gx;1GRJUbhJnXAgMrAFuw3h2ev6rEXmmeqSpA;165995483
1HbdqhNeuhuVpCtUfrHATFeeBzxWBYGdAn;3HxdYtW412UGy3KG4U71XAC31FYkWNJvrv;2750910
1HbdqhNeuhuVpCtUfrHATFeeBzxWBYGdAn;1GRJUbhJnXAgMrAFuw3h2ev6rEXmmeqSpA;132840597
1E51wDjfDgUrtTBbhodTy6yji1mMUDA5gx;3JbVzEqknYLA9mduK67AVUsWDBVqhXSuQw;769850
1E51wDjfDgUrtTBbhodTy6yji1mMUDA5gx;1GRJUbhJnXAgMrAFuw3h2ev6rEXmmeqSpA;297325275
19JdL53BkFS4CJTeaSQwmxevsRt9ZTbdN4;38Bzbu2yDKComrynZk8KJ9oKiTnWabsqJz;100000
19JdL53BkFS4CJTeaSQwmxevsRt9ZTbdN4;15JLfGmg8Kx9Vb7H8N6UQ8GXCFHSWbjLu3;359347334
1HZUiRBkh8256SkF19HuRL97hn6XpbbvTj;bc1qfs00u3acj6s9dhzczxrfugdjhamcn83zyne34l;1672025
1HZUiRBkh8256SkF19HuRL97hn6XpbbvTj;12YpPWLEks1vgRCx178CEA2m5PNUcGMUGE;2695093366
1E97UsL9tMjjGPv14VGWoENXmXbpZbAca3;3EUgXwPTT6s5nRyEAPJHBLidvWuuFV14EY;2165374
1E97UsL9tMjjGPv14VGWoENXmXbpZbAca3;1BGWrdFVReNeJEn93kNqxxyYDhAF7zncQD;2053374688
bc1qgsqkf4zh56f3l04zydnfhmljdt2z7hltgeza3g;1KDezGfnaAWHnc114nuq2fUXx3WwgoHRD;103901.2792
bc1qgsqkf4zh56f3l04zydnfhmljdt2z7hltgeza3g;1KDezGfnaAWHnc114nuq2fUXx3WwgoHRD;102767.2899
bc1qgsqkf4zh56f3l04zydnfhmljdt2z7hltgeza3g;1KDezGfnaAWHnc114nuq2fUXx3WwgoHRD;101214.4309
376cKYtwtK6TPvy2YAJtowKUdAwxWRZEbu;1HxJLiCDFoj8fZtTE9gMf3tb6CkHg5YAUH;186327
376cKYtwtK6TPvy2YAJtowKUdAwxWRZEbu;36sC657ypPme3nzkNS31CrJ2HKFYsfR3Ur;4177451
376cKYtwtK6TPvy2YAJtowKUdAwxWRZEbu;37nbTpMVwbJuibn7dSmBUxH4n8RcRPjM8N;1000
376cKYtwtK6TPvy2YAJtowKUdAwxWRZEbu;3EWKp7ayUqGQTAbnJtGRkzxeibn3vBUpkE;5583
bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;13yjFzuaUJvemGNWXVAdpUcWs7BZNpzfiV;501003.1224
bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;5232.664487
bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;13yjFzuaUJvemGNWXVAdpUcWs7BZNpzfiV;527000.4084
bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;5504.18989
bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;13yjFzuaUJvemGNWXVAdpUcWs7BZNpzfiV;571996.4692
bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;bc1qyuhc5rc20qph7trpfcurwcs62eqvfl6vk08r02;5974.145623
bc1qfmmjga5q9h4qedvmr7cadxl0zjz4m09q0x3a8g;1EYbArHtqF1xmf49NiaHUpaAENME2NsiGW;37267.09919
bc1qfmmjga5q9h4qedvmr7cadxl0zjz4m09q0x3a8g;bc1qwxet0t0nuj5cncf84kt0qejglanpvv8kmkrjkk;27041.96547
bc1q9dgjzuh4lftkxc2zg6dksrrym2rmjafpg7tsg5;1EYbArHtqF1xmf49NiaHUpaAENME2NsiGW;294001.7783
bc1q9dgjzuh4lftkxc2zg6dksrrym2rmjafpg7tsg5;bc1qwxet0t0nuj5cncf84kt0qejglanpvv8kmkrjkk;213335.2503
bc1q9dgjzuh4lftkxc2zg6dksrrym2rmjafpg7tsg5;1EYbArHtqF1xmf49NiaHUpaAENME2NsiGW;368731.1226
bc1q9dgjzuh4lftkxc2zg6dksrrym2rmjafpg7tsg5;bc1qwxet0t0nuj5cncf84kt0qejglanpvv8kmkrjkk;267560.7842
19JdL53BkFS4CJTeaSQwmxevsRt9ZTbdN4;bc1q80cm2fw6vdftw72hcld26pfqt8afcd7pldhg9y;59257.33409
19JdL53BkFS4CJTeaSQwmxevsRt9ZTbdN4;1JzzGfXTjGYH7vasB3LWw73unHyZ5ARDKq;9244.769612
1EsuUgfVQ4QiDmxf8CSaKrUoQmbEsqnYQW;bc1q80cm2fw6vdftw72hcld26pfqt8afcd7pldhg9y;1740742.666
1EsuUgfVQ4QiDmxf8CSaKrUoQmbEsqnYQW;1JzzGfXTjGYH7vasB3LWw73unHyZ5ARDKq;271574.2304
bc1q9spq5f2t8rje4wjxy903v9jc8trcpqs09djnsk;1NKAsP8uUHGNUwxeiP4QAAPaKMqhDJgGHa;102504
bc1q5y6l33tvgh372mspe6f8d4jj6ha44f2vh405eq;1AsgAjxqC1Uj3SarnPpxcZDwz2o2R4qWta;848938.6979
bc1q5y6l33tvgh372mspe6f8d4jj6ha44f2vh405eq;1AsgAjxqC1Uj3SarnPpxcZDwz2o2R4qWta;295646.0462
bc1q5y6l33tvgh372mspe6f8d4jj6ha44f2vh405eq;1AsgAjxqC1Uj3SarnPpxcZDwz2o2R4qWta;180566.067
bc1q5y6l33tvgh372mspe6f8d4jj6ha44f2vh405eq;1AsgAjxqC1Uj3SarnPpxcZDwz2o2R4qWta;569847.1889
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;bc1q95tk4uvk642s83mlnaglhf9srfylyl5mk7kt0x;73067
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;3HBZVikf8y4JPPk3F5wBfpgnH2kWSeFZwN;105747
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;bc1q59ercfznlsaujq9hf9yvgu0gw95em9xa97xg3f;124340
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;bc1qakw42pcju7jd0dkck7vmf08tperc8wvx0mp002;135049
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;bc1q2uswfz7eu73jtqj604cvtk5r6vd374qlxtxuvu;155856
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;1De6Ro768j4jGDcY6UFsDbEw7bfYz2dZLA;225729
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;3K15dFs8wXzCQxGEkoZCrUxNc2Yr9HxLJu;505663
bc1q4vpusjks6544qdd24al076aqg4msd38l0rjwec;131smSEj3dgbhLB24GKkbxjmVoz7CQnurn;523558
