Source;Target;Weight
Inicial;1K6KoYC69NnafWJ7YgtrpwJxBLiijWqwa6;546
Inicial;1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY;645303912
1JRhv7zRN9xCyTntYT5nuupg7JMsE7YocL;1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY;645303912
1JRhv7zRN9xCyTntYT5nuupg7JMsE7YocL;bc1qm0dx0zukm5xt6z35q474j0vsx0p8dfaefsnzl5;200
1JRhv7zRN9xCyTntYT5nuupg7JMsE7YocL;1EbveiEWAQvaeyRW69QSjxrMkTLeNVPSn9;200
1P3DZzVj3F22GDQGpXb5dCEUSks4fRRnzL;bc1qm0dx0zukm5xt6z35q474j0vsx0p8dfaefsnzl5;200
bc1q4key46alhh9qqpa2e2p5mcwzhadc9h7zh30da0;1EbveiEWAQvaeyRW69QSjxrMkTLeNVPSn9;200
bc1qmhq4sgtchfgh6ul75x3rsuegt55mef0zx3ehm2;1JRhv7zRN9xCyTntYT5nuupg7JMsE7YocL;8660967
bc1q5va2m62jtn37g943f6vq0cpwvff7vfqv33zp0w;bc1ptpvzt0uel4tjxg5l95hherd0ewz4jnev68cd4msv9yp20ft3nswqrg6ydr;250000
1AGnCcWS5EB2tPkJgvtJybo7PwNKLGPrbQ;19iSJXBSJpiGPmyLkz8c9sx3Nk3amyJok5;26114152
1AGnCcWS5EB2tPkJgvtJybo7PwNKLGPrbQ;bc1qmhq4sgtchfgh6ul75x3rsuegt55mef0zx3ehm2;27475308358
bc1qpc9cyxjtuyt7v326k2xe6v2va4uqfjtqe7nkqv;bc1qmhq4sgtchfgh6ul75x3rsuegt55mef0zx3ehm2;27475308358
bc1qtfxdlc3mphrlyxtrhrxnepfc6w62yduwall6g5;3HAUxKggeuSTNhuh3P6Rbt2uA2Zzw7KvuJ;160833
15nCF3x6KKENYw5fuLjjxkfYczpC5a2Dcs;bc1qsw55gkezdyssgy6jg5fuxd6upmrc5r59llefly;101435027
bc1qvwwsnzlry79kwa5az5xkf2a04hyh5nzzt3chus;13Fgw7pNjyEkZGVMff22qPefKQVayxMwSV;9976557
13xgJYD6kEp8WeKA4sX4FmvAxjd7ocA5P4;bc1qf2609568947vpzkmgv440gelc03qe0qwakqnwh;435160
bc1qaqzdlmg0s060u9ufjqc7h2g0k7r9ynuz4ynp2w;153s7rzYVoeAk5pUwfByryEnubstVr8aYG;1852513
bc1qaqzdlmg0s060u9ufjqc7h2g0k7r9ynuz4ynp2w;bc1q9fwz9qyy82cuqxtxwf0gxmzv9qplvum4dn7s5v;359287
bc1qg3ef8zv3pmuhm3llfutsy3ea9ec0wfgtdkgllq;bc1q9fwz9qyy82cuqxtxwf0gxmzv9qplvum4dn7s5v;359287
bc1qqjuraeedjhe36a8nut8kjqq808acgwvjrq2jua;bc1q6tuxwzr6tw0pd0a346uwarnmfngmfn66e49a43;70625
bc1qzsehtgutulap5u8gs9pdv9kmap8g5kagpav26j;1QFE5d4iyarboiBhMS3grb8Z5CWdajDMLf;935273
bc1qm5xw3p3rr8zncdsy20w5cjnqgy8jywzqdvpu02;1KDbJiPPVCftgbtUKKpuFmFJoCpakWKh7r;200000
bc1qlnarq550ytut8nxjhtpzqfujdvn6ch2kgqfkhp;bc1qnpy9mqr6j7uj9w7ugvfagmvus8p63hvpqaaqr9;543305
1E4JeHwhqEVfSrRHa8iVLTYSnapPnjfUb8;3CjVdZyi9eoJcCX2zn5cs2vcyVPLxbNHYk;3481049
