Source,Target,Weight
Inicial,38XnPvu9PmonFU9WouPXUjYbW91wa5MerL,631173362.0
bc1q7hlav306e37ssp943c2n3c0334m8sxc7x2rg2a,12xjTixvD2gPYWKhcnQxak5WC3JwkcHvMS,199503.0
1Nv2TW9iyvjTFtAVubKQbGiBTwBBpDHHk,bc1q509jj44qndw69uepkspk5pmlpf8xs50tmc4lnx,76749.0
1G3jRU9ZTkiVsgTszLFEhbwc8EnCwzGxUT,3HDW48ZFNPfmrYcfSm3cc8R5p5bbki6FXX,2000000.0000000002
1G3jRU9ZTkiVsgTszLFEhbwc8EnCwzGxUT,1G3jRU9ZTkiVsgTszLFEhbwc8EnCwzGxUT,58414421.0
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,1G3jRU9ZTkiVsgTszLFEhbwc8EnCwzGxUT,58414421.0
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,388681923.0
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,12V5Wgw87WntS2av3XwQFYek9uvuRfYthR,759832.0
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,bc1qlgpj3jsmses5d920rrhxjwdthmhlfsqz729e6w95p6ljp56cmxeqkcdt7f,323636.0
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,bc1qj5gd97jsj9kpdr0gt89hfnmklk0tssf5w6jade,193494.00000000003
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,bc1q87ntygrk9czkcn5809a8rg2mw9guqczq27nvm4,144663.0
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,1Frh2SGnNVEyj5ZcSuNNQEm7XhhwBMCHUT,144179.0
bc1qjytj8hxxpryzy7466xjpthh79dwt8z4wmpjlf5,bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,388681923.0
bc1qjytj8hxxpryzy7466xjpthh79dwt8z4wmpjlf5,12V5Wgw87WntS2av3XwQFYek9uvuRfYthR,759832.0
bc1qcvlat4ls0kx0f7tllutt3qx0fc80hjyv2lm4kf,12V5Wgw87WntS2av3XwQFYek9uvuRfYthR,759832.0
